# Probe-to-Gene mapping — GSE33000 (Alzheimer — HumanHT-12)
ILMN_Probe	Gene_Symbol

# Unmapped probes:
ILMN_1653103	NOT_FOUND
ILMN_1656196	NOT_FOUND
ILMN_1662144	NOT_FOUND
ILMN_1665164	NOT_FOUND
ILMN_1667578	NOT_FOUND
ILMN_1669565	NOT_FOUND
ILMN_1672843	NOT_FOUND
ILMN_1674032	NOT_FOUND
ILMN_1675221	NOT_FOUND
ILMN_1678788	NOT_FOUND
ILMN_1679800	NOT_FOUND
ILMN_1687404	NOT_FOUND
ILMN_1688033	NOT_FOUND
ILMN_1689552	NOT_FOUND
ILMN_1691339	NOT_FOUND
ILMN_1691743	NOT_FOUND
ILMN_1691942	NOT_FOUND
ILMN_1694731	NOT_FOUND
ILMN_1695311	NOT_FOUND
ILMN_1697735	NOT_FOUND
ILMN_1701101	NOT_FOUND
ILMN_1701653	NOT_FOUND
ILMN_1707901	NOT_FOUND
ILMN_1717541	NOT_FOUND
ILMN_1721513	NOT_FOUND
ILMN_1722603	NOT_FOUND
ILMN_1726306	NOT_FOUND
ILMN_1727813	NOT_FOUND
ILMN_1730487	NOT_FOUND
ILMN_1731610	NOT_FOUND
ILMN_1732071	NOT_FOUND
ILMN_1736060	NOT_FOUND
ILMN_1737036	NOT_FOUND
ILMN_1737157	NOT_FOUND
ILMN_1746386	NOT_FOUND
ILMN_1749474	NOT_FOUND
ILMN_1756862	NOT_FOUND
ILMN_1757355	NOT_FOUND
ILMN_1761969	NOT_FOUND
ILMN_1766363	NOT_FOUND
ILMN_1769013	NOT_FOUND
ILMN_1772644	NOT_FOUND
ILMN_1778237	NOT_FOUND
ILMN_1780504	NOT_FOUND
ILMN_1787749	NOT_FOUND
ILMN_1792741	NOT_FOUND
ILMN_1813490	NOT_FOUND
ILMN_1822832	NOT_FOUND
ILMN_1828967	NOT_FOUND
ILMN_1829768	NOT_FOUND
ILMN_1831907	NOT_FOUND
ILMN_1851487	NOT_FOUND
ILMN_1853686	NOT_FOUND
ILMN_1861961	NOT_FOUND
ILMN_1874748	NOT_FOUND
ILMN_1876250	NOT_FOUND
ILMN_1883399	NOT_FOUND
ILMN_1887906	NOT_FOUND
ILMN_1888546	NOT_FOUND
ILMN_1893236	NOT_FOUND
ILMN_1898222	NOT_FOUND
ILMN_1905132	NOT_FOUND
ILMN_1908052	NOT_FOUND
ILMN_1909784	NOT_FOUND
ILMN_1911007	NOT_FOUND
ILMN_1913876	NOT_FOUND
ILMN_1914579	NOT_FOUND
ILMN_1915123	NOT_FOUND
ILMN_1915583	NOT_FOUND
ILMN_2113738	NOT_FOUND
ILMN_2129505	NOT_FOUND
ILMN_2138765	NOT_FOUND
ILMN_2178771	NOT_FOUND
ILMN_2194828	NOT_FOUND
ILMN_2242491	NOT_FOUND
ILMN_2260120	NOT_FOUND
ILMN_2287061	NOT_FOUND
ILMN_2327244	NOT_FOUND
ILMN_2364529	NOT_FOUND
ILMN_2374425	NOT_FOUND
ILMN_2376050	NOT_FOUND
ILMN_2387784	NOT_FOUND
ILMN_2389995	NOT_FOUND
